dataset,player_name_fbref,player_name_tm,player_id_tm,club,league,position,position_group,age,season,season_start_year,market_value_eur,log_market_value_eur,opportunity_score,player_name,name,club_actual,risk_score,risk_level,contract_opportunity_score,recruitment_contract_score
data/processed/transfermarkt_features.parquet,,Raúl Asencio,340260.0,,,,ATT,,2022-2023,,400000.0,12.89921982609012,,,,,,,,
data/processed/transfermarkt_features.parquet,,Raúl Asencio,340260.0,,,,ATT,,2022-2023,,400000.0,12.89921982609012,,,,,,,,
data/processed/transfermarkt_features.parquet,,Raúl Asencio,340260.0,,,,ATT,,2022-2023,,350000.0,12.765688433465597,,,,,,,,
data/processed/transfermarkt_features.parquet,,Nicolò Savona,708072.0,,,,DEF,,2021-2022,,250000.0,12.429216196844383,,,,,,,,
data/processed/transfermarkt_features.parquet,,Nicolò Savona,708072.0,,,,DEF,,2022-2023,,200000.0,12.206072645530174,,,,,,,,
data/processed/transfermarkt_features.parquet,,Nicolò Savona,708072.0,,,,DEF,,2022-2023,,250000.0,12.429216196844383,,,,,,,,
data/processed/transfermarkt_features.parquet,,Nicolò Savona,708072.0,,,,DEF,,2023-2024,,200000.0,12.206072645530174,,,,,,,,
data/processed/transfermarkt_features.parquet,,Nicolò Savona,708072.0,,,,DEF,,2023-2024,,200000.0,12.206072645530174,,,,,,,,
data/processed/transfermarkt_features.parquet,,Nicolò Savona,708072.0,,,,DEF,,2024-2025,,7000000.0,15.761420707019587,,,,,,,,
data/processed/transfermarkt_features.parquet,,Nicolò Savona,708072.0,,,,DEF,,2024-2025,,14000000.0,16.454567887579532,,,,,,,,
data/processed/transfermarkt_features.parquet,,Nicolò Savona,708072.0,,,,DEF,,2024-2025,,12000000.0,16.300417207752275,,,,,,,,
data/processed/transfermarkt_features.parquet,,Nicolò Savona,708072.0,,,,DEF,,2025-2026,,15000000.0,16.523560759066484,,,,,,,,
data/processed/transfermarkt_features.parquet,,Nicolò Savona,708072.0,,,,DEF,,2025-2026,,18000000.0,16.70588231586044,,,,,,,,
data/processed/transfermarkt_features.parquet,,Raúl Asencio,935245.0,,,,DEF,,2023-2024,,100000.0,11.512925464970229,,,,,,,,
data/processed/transfermarkt_features.parquet,,Raúl Asencio,935245.0,,,,DEF,,2023-2024,,200000.0,12.206072645530174,,,,,,,,
data/processed/transfermarkt_features.parquet,,Raúl Asencio,935245.0,,,,DEF,,2023-2024,,300000.0,12.611537753638338,,,,,,,,
data/processed/transfermarkt_features.parquet,,Raúl Asencio,935245.0,,,,DEF,,2024-2025,,7500000.0,15.830413578506539,,,,,,,,
data/processed/transfermarkt_features.parquet,,Raúl Asencio,935245.0,,,,DEF,,2024-2025,,30000000.0,17.216707939626428,,,,,,,,
data/processed/transfermarkt_features.parquet,,Raúl Asencio,935245.0,,,,DEF,,2024-2025,,40000000.0,17.50439001207821,,,,,,,,
data/processed/transfermarkt_features.parquet,,Raúl Asencio,935245.0,,,,DEF,,2025-2026,,30000000.0,17.216707939626428,,,,,,,,
data/processed/transfermarkt_features.parquet,,Raúl Asencio,935245.0,,,,DEF,,2025-2026,,30000000.0,17.216707939626428,,,,,,,,
data/processed/transfermarkt_features.parquet,,Raúl Asencio,935245.0,,,,DEF,,2025-2026,,25000000.0,17.034386382832476,,,,,,,,
data/processed/transfermarkt_features.parquet,,Javi Rodríguez,1076815.0,,,,DEF,,2022-2023,,100000.0,11.512925464970229,,,,,,,,
data/processed/transfermarkt_features.parquet,,Javi Rodríguez,1076815.0,,,,DEF,,2022-2023,,100000.0,11.512925464970229,,,,,,,,
data/processed/transfermarkt_features.parquet,,Javi Rodríguez,1076815.0,,,,DEF,,2023-2024,,200000.0,12.206072645530174,,,,,,,,
data/processed/transfermarkt_features.parquet,,Javi Rodríguez,1076815.0,,,,DEF,,2023-2024,,250000.0,12.429216196844383,,,,,,,,
data/processed/transfermarkt_features.parquet,,Javi Rodríguez,1076815.0,,,,DEF,,2023-2024,,250000.0,12.429216196844383,,,,,,,,
data/processed/transfermarkt_features.parquet,,Javi Rodríguez,1076815.0,,,,DEF,,2024-2025,,3000000.0,14.914122846632385,,,,,,,,
data/processed/transfermarkt_features.parquet,,Javi Rodríguez,1076815.0,,,,DEF,,2024-2025,,6000000.0,15.60727002719233,,,,,,,,
data/processed/transfermarkt_features.parquet,,Javi Rodríguez,1076815.0,,,,DEF,,2024-2025,,10000000.0,16.11809565095832,,,,,,,,
data/processed/transfermarkt_features.parquet,,Javi Rodríguez,1076815.0,,,,DEF,,2024-2025,,15000000.0,16.523560759066484,,,,,,,,
data/processed/transfermarkt_features.parquet,,Javi Rodríguez,1076815.0,,,,DEF,,2025-2026,,15000000.0,16.523560759066484,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Raúl Asencio,340260.0,,,,ATT,,2014-2015,,50000.0,10.819778284410283,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Raúl Asencio,340260.0,,,,ATT,,2014-2015,,100000.0,11.512925464970229,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Raúl Asencio,340260.0,,,,ATT,,2014-2015,,100000.0,11.512925464970229,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Raúl Asencio,340260.0,,,,ATT,,2015-2016,,150000.0,11.918390573078392,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Raúl Asencio,340260.0,,,,ATT,,2016-2017,,250000.0,12.429216196844383,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Raúl Asencio,340260.0,,,,ATT,,2017-2018,,350000.0,12.765688433465597,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Raúl Asencio,340260.0,,,,ATT,,2017-2018,,1000000.0,13.815510557964274,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Raúl Asencio,340260.0,,,,ATT,,2018-2019,,900000.0,13.710150042306449,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Raúl Asencio,340260.0,,,,ATT,,2018-2019,,800000.0,13.592367006650065,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Raúl Asencio,340260.0,,,,ATT,,2019-2020,,700000.0,13.458835614025542,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Raúl Asencio,340260.0,,,,ATT,,2019-2020,,625000.0,13.345506928718539,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Raúl Asencio,340260.0,,,,ATT,,2020-2021,,850000.0,13.652991628466498,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Raúl Asencio,340260.0,,,,ATT,,2020-2021,,700000.0,13.458835614025542,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Raúl Asencio,340260.0,,,,ATT,,2020-2021,,550000.0,13.217673557208654,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Raúl Asencio,340260.0,,,,ATT,,2021-2022,,300000.0,12.611537753638338,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Raúl Asencio,340260.0,,,,ATT,,2021-2022,,250000.0,12.429216196844383,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Raúl Asencio,340260.0,,,,ATT,,2022-2023,,400000.0,12.89921982609012,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Raúl Asencio,340260.0,,,,ATT,,2022-2023,,400000.0,12.89921982609012,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Raúl Asencio,340260.0,,,,ATT,,2022-2023,,350000.0,12.765688433465597,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Nicolò Savona,708072.0,,,,DEF,,2021-2022,,250000.0,12.429216196844383,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Nicolò Savona,708072.0,,,,DEF,,2022-2023,,200000.0,12.206072645530174,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Nicolò Savona,708072.0,,,,DEF,,2022-2023,,250000.0,12.429216196844383,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Nicolò Savona,708072.0,,,,DEF,,2023-2024,,200000.0,12.206072645530174,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Nicolò Savona,708072.0,,,,DEF,,2023-2024,,200000.0,12.206072645530174,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Nicolò Savona,708072.0,,,,DEF,,2024-2025,,7000000.0,15.761420707019587,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Nicolò Savona,708072.0,,,,DEF,,2024-2025,,14000000.0,16.454567887579532,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Nicolò Savona,708072.0,,,,DEF,,2024-2025,,12000000.0,16.300417207752275,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Nicolò Savona,708072.0,,,,DEF,,2025-2026,,15000000.0,16.523560759066484,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Nicolò Savona,708072.0,,,,DEF,,2025-2026,,18000000.0,16.70588231586044,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Raúl Asencio,935245.0,,,,DEF,,2023-2024,,100000.0,11.512925464970229,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Raúl Asencio,935245.0,,,,DEF,,2023-2024,,200000.0,12.206072645530174,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Raúl Asencio,935245.0,,,,DEF,,2023-2024,,300000.0,12.611537753638338,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Raúl Asencio,935245.0,,,,DEF,,2024-2025,,7500000.0,15.830413578506539,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Raúl Asencio,935245.0,,,,DEF,,2024-2025,,30000000.0,17.216707939626428,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Raúl Asencio,935245.0,,,,DEF,,2024-2025,,40000000.0,17.50439001207821,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Raúl Asencio,935245.0,,,,DEF,,2025-2026,,30000000.0,17.216707939626428,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Raúl Asencio,935245.0,,,,DEF,,2025-2026,,30000000.0,17.216707939626428,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Raúl Asencio,935245.0,,,,DEF,,2025-2026,,25000000.0,17.034386382832476,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Javi Rodríguez,1076815.0,,,,DEF,,2022-2023,,100000.0,11.512925464970229,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Javi Rodríguez,1076815.0,,,,DEF,,2022-2023,,100000.0,11.512925464970229,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Javi Rodríguez,1076815.0,,,,DEF,,2023-2024,,200000.0,12.206072645530174,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Javi Rodríguez,1076815.0,,,,DEF,,2023-2024,,250000.0,12.429216196844383,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Javi Rodríguez,1076815.0,,,,DEF,,2023-2024,,250000.0,12.429216196844383,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Javi Rodríguez,1076815.0,,,,DEF,,2024-2025,,3000000.0,14.914122846632385,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Javi Rodríguez,1076815.0,,,,DEF,,2024-2025,,6000000.0,15.60727002719233,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Javi Rodríguez,1076815.0,,,,DEF,,2024-2025,,10000000.0,16.11809565095832,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Javi Rodríguez,1076815.0,,,,DEF,,2024-2025,,15000000.0,16.523560759066484,,,,,,,,
data/processed/transfermarkt_features_v13a.parquet,,Javi Rodríguez,1076815.0,,,,DEF,,2025-2026,,15000000.0,16.523560759066484,,,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Raúl Asencio,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Raúl Asencio,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Javi Rodríguez,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Javi Rodríguez,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Javi Rodríguez,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Nicolò Savona,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Javi Rodríguez,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Nicolò Savona,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Javi Rodríguez,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Nicolò Savona,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Javi Rodríguez,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Nicolò Savona,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Javi Rodríguez,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Javi Rodríguez,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Nicolò Savona,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Javi Rodríguez,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Nicolò Savona,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Javi Rodríguez,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Nicolò Savona,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Nicolò Savona,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Javi Rodríguez,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Nicolò Savona,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Nicolò Savona,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Javi Rodríguez,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Nicolò Savona,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Javi Rodríguez,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Nicolò Savona,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Javi Rodríguez,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Nicolò Savona,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Nicolò Savona,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Raúl Asencio,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Javi Rodríguez,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Nicolò Savona,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Javi Rodríguez,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Raúl Asencio,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Raúl Asencio,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Nicolò Savona,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Javi Rodríguez,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Raúl Asencio,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Javi Rodríguez,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Raúl Asencio,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Javi Rodríguez,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Nicolò Savona,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Raúl Asencio,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Raúl Asencio,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Nicolò Savona,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Nicolò Savona,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Javi Rodríguez,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Nicolò Savona,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Javi Rodríguez,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Nicolò Savona,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Raúl Asencio,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Nicolò Savona,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Nicolò Savona,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Raúl Asencio,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Javi Rodríguez,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Raúl Asencio,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Raúl Asencio,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Nicolò Savona,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Raúl Asencio,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Nicolò Savona,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Javi Rodríguez,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Raúl Asencio,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Javi Rodríguez,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Raúl Asencio,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Nicolò Savona,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Raúl Asencio,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Nicolò Savona,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Raúl Asencio,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Javi Rodríguez,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Raúl Asencio,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Raúl Asencio,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Nicolò Savona,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Javi Rodríguez,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Raúl Asencio,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Nicolò Savona,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Raúl Asencio,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Javi Rodríguez,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Raúl Asencio,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Javi Rodríguez,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Raúl Asencio,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Nicolò Savona,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Raúl Asencio,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Nicolò Savona,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Javi Rodríguez,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Raúl Asencio,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Raúl Asencio,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Javi Rodríguez,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Raúl Asencio,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Javi Rodríguez,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Raúl Asencio,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Raúl Asencio,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Javi Rodríguez,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Raúl Asencio,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Raúl Asencio,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Javi Rodríguez,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Raúl Asencio,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Javi Rodríguez,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Nicolò Savona,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Raúl Asencio,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Nicolò Savona,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Javi Rodríguez,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Raúl Asencio,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Raúl Asencio,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Javi Rodríguez,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Raúl Asencio,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Javi Rodríguez,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Raúl Asencio,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Raúl Asencio,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Nicolò Savona,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Nicolò Savona,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Javi Rodríguez,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Raúl Asencio,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Nicolò Savona,,,,,,
data/raw/transfermarkt/kaggle_player_scores/appearances.csv,,,,,,,,,,,,,,Javi Rodríguez,,,,,,
